,beta,delta,val
117,0.8,0.944,37079.766916623616
118,0.8,0.946,15931.298258988612
119,0.8,0.948,5893.819579496384
120,0.8,0.95,3114.3019412275353
121,0.8,0.952,5058.119294911031
122,0.8,0.954,9430.76287875618
123,0.8,0.956,15500.961994313939
124,0.8,0.958,22974.710436943948
125,0.8,0.96,31200.65893871581
126,0.81,0.92,2702242.6117123673
127,0.81,0.922,2337660.9615930053
128,0.81,0.924,1960034.7715783115
129,0.81,0.926,1591776.5051187985
130,0.81,0.928,1256669.9503415595
131,0.81,0.93,940675.4090317592
132,0.81,0.932,676812.0402690027
133,0.81,0.934,463003.8077761814
134,0.81,0.936,302244.09251597396
135,0.81,0.9380000000000001,192379.81913687306
136,0.81,0.94,109470.26640973127
137,0.81,0.942,59011.628572756934
138,0.81,0.944,28711.838426400016
139,0.81,0.946,11326.209541957283
140,0.81,0.948,4038.9495071228685
141,0.81,0.95,3238.0396513816067
142,0.81,0.952,6332.151375185331
143,0.81,0.954,11460.171687947894
144,0.81,0.956,18042.248774351297
145,0.81,0.958,25902.73837044022
146,0.81,0.96,34184.41660286496
147,0.8200000000000001,0.92,2605070.014529869
148,0.8200000000000001,0.922,2244764.3767961804
149,0.8200000000000001,0.924,1865991.5784128695
150,0.8200000000000001,0.926,1501313.3666085298
151,0.8200000000000001,0.928,1175746.4813939647
152,0.8200000000000001,0.93,869078.2241847487
153,0.8200000000000001,0.932,613660.6884229293
154,0.8200000000000001,0.934,417772.8492459927
155,0.8200000000000001,0.936,268522.8968756258
156,0.8200000000000001,0.9380000000000001,165286.95047075718
157,0.8200000000000001,0.94,91090.73359294722
158,0.8200000000000001,0.942,47854.70618861831
159,0.8200000000000001,0.944,21646.662669634607
160,0.8200000000000001,0.946,7988.962065555819
161,0.8200000000000001,0.948,3166.53976903821
162,0.8200000000000001,0.95,3975.5669159825675
163,0.8200000000000001,0.952,7996.805821331752
164,0.8200000000000001,0.954,13726.175138618175
165,0.8200000000000001,0.956,20769.895614472392
166,0.8200000000000001,0.958,28914.878771756885
167,0.8200000000000001,0.96,37366.511607915
168,0.8300000000000001,0.92,2513980.8444693894
169,0.8300000000000001,0.922,2147713.0927237654
170,0.8300000000000001,0.924,1779137.6474982856
171,0.8300000000000001,0.926,1415293.261612325
172,0.8300000000000001,0.928,1097337.4054976935
173,0.8300000000000001,0.93,802650.6313338907
174,0.8300000000000001,0.932,556296.4769425999
175,0.8300000000000001,0.934,373679.0531963202
176,0.8300000000000001,0.936,238184.79191782587
